"平成27年秋期　問23 1問目／選択範囲の問題数675問","特許権に関する記述のうち，適切なものはどれか。","","A社が特許を出願するより前にB社が独自に開発して日本国内で発売した製品は，A社の特許権の侵害にならない。","組込み機器におけるハードウェアは特許権で保護されるが，ソフトウェアは保護されない。","審査を受けて特許権を取得した後に，特許権が無効となることはない。","先行特許と同一の技術であっても，独自に開発した技術であれば特許権の侵害にならない。","A"
"平成28年秋期　問18 60問目／選択範囲の問題数675問","DNSに関する記述のうち，適切なものはどれか。","","DNSサーバに対して，IPアドレスに対応するドメイン名，又はドメイン名に対応するIPアドレスを問い合わせるクライアントソフトウェアを，リゾルバという。","問合せを受けたDNSサーバが要求されたデータをもっていない場合に，他のDNSサーバを参照先として回答することを，ゾーン転送という。","ドメイン名に対応するIPアドレスを求めることを，逆引きという。","ドメイン名を管理するDNSサーバを指定する資源レコードのことを，CNAMEという。","A"
"平成29年春期　問10 61問目／選択範囲の問題数675問","JVN(Japan Vulnerability Notes)などの脆弱性対策ポータルサイトで採用されているCVE(Common Vulnerabilities and Exposures)識別子の説明はどれか。","","コンピュータで必要なセキュリティ設定項目を識別するための識別子である。","脆弱性を利用して改ざんされたWebサイトのスクリーンショットを識別するための識別子である。","製品に含まれる脆弱性を識別するための識別子である。","セキュリティ製品を識別するための識別子である。","U"
"平成27年秋期　問25 62問目／選択範囲の問題数675問","システム監査における監査証拠の説明のうち，適切なものはどれか。","","監査人が収集又は作成する資料であり，監査報告書に記載する監査意見や指摘事項は，その資料によって裏付けられていなければならない。","監査人が当初設定した監査手続を記載した資料であり，監査人はその資料に基づいて監査を実施しなければならない。","機密性の高い情報が含まれている資料であり，監査人は監査報告書の作成後，速やかに全てを処分しなければならない。","被監査部門が監査人に提出する資料であり，監査人が自ら作成する資料は含まれない。","A"
"平成27年春期　問16 64問目／選択範囲の問題数675問","SMTP-AUTHの特徴はどれか。","","ISP管理下の動的IPアドレスからの電子メール送信について，管理外ネットワークのメールサーバへSMTP接続を禁止する。","PCからメールサーバへの電子メール送信時に，ユーザアカウントとパスワードによる利用者認証を行う。","PCからメールサーバへの電子メール送信は，POP接続で利用者認証済の場合にだけ許可する。","電子メール送信元のサーバが，送信元ドメインのDNSに登録されていることを確認して，電子メールを受信する。","I"
"令和元年秋期　問8 65問目／選択範囲の問題数675問","総務省及び経済産業省が策定した""電子政府における調達のために参照すべき暗号のリスト(CRYPTREC 暗号リスト)""を構成する暗号リストの説明のうち，適切なものはどれか。","","推奨候補暗号リストとは，CRYPTRECによって安全性及び実装性能が確認された暗号技術のうち，市場における利用実績が十分であるか今後の普及が見込まれると判断され，当該技術の利用を推奨するもののリストである。","推奨候補暗号リストとは，候補段階に格下げされ，互換性維持目的で利用する暗号技術のリストである。","電子政府推奨暗号リストとは，CRYPTRECによって安全性及び実装性能が確認された暗号技術のうち，市場における利用実績が十分であるか今後の普及が見込まれると判断され，当該技術の利用を推奨するもののリストである。","電子政府推奨暗号リストとは，推奨段階に格下げされ，互換性維持目的で利用する暗号技術のリストである。","U"
"平成29年秋期　問4 66問目／選択範囲の問題数675問","ハッシュ関数の性質の一つである衝突発見困難性に関する記述のうち，適切なものはどれか。","","SHA-256の衝突発見困難性を示す，ハッシュ値が一致する二つのメッセージの探索に要する最大の計算量は，256の2乗である。","SHA-256の衝突発見困難性を示す，ハッシュ値の元のメッセージの探索に要する最大の計算量は，2の256乗である。","衝突発見困難性とは，ハッシュ値が与えられたときに，元のメッセージの探索に要する計算量が大きいことによる，探索の困難性のことである。","衝突発見困難性とは，ハッシュ値が一致する二つのメッセージの探索に要する計算量が大きいことによる，探索の困難性のことである。","E"
"平成24年秋期　問21 67問目／選択範囲の問題数675問","データベースのデータを更新するトランザクションが，実行途中で異常終了したとき，更新中のデータに対して行われる処理はどれか。","","異常終了時点までの更新ログ情報を破棄することによって，データをトランザクション開始前の状態に回復する。","チェックポイント時点からコミット完了しているトランザクションの更新をロールフォワードすることによって，データを回復する。","トランザクションの更新ログ情報を使って異常終了時点までロールフォワードすることによって，データを回復する。","ロールバックすることによって，データをトランザクション開始前の状態に回復する。","E"
"令和4年春期　問5 68問目／選択範囲の問題数675問","標的型攻撃における攻撃者の行動をモデル化したものの一つにサイバーキルチェーンがあり，攻撃者の行動を7段階に分類している。標的とした会社に対する攻撃者の行動のうち，偵察の段階に分類されるものはどれか。","","攻撃者が，インターネットに公開されていない社内ポータルサイトから，会社の組織図，従業員情報，メールアドレスなどを入手する。","攻撃者が，会社の役員が登録しているSNSサイトから，攻撃対象の人間関係，趣味などを推定する。","攻撃者が，取引先になりすまして，標的とした会社にマルウェアを添付した攻撃メールを送付する。","攻撃者が，ボットに感染したPCを違隔操作して社内ネットワーク上のPCを次々にマルウェア感染させて，利用者IDとパスワードを入手する。","I"
"平成28年秋期　問7 69問目／選択範囲の問題数675問","X.509におけるCRL(Certificate Revocation List)についての説明のうち，適切なものはどれか。","","PKIの利用者は，認証局の公開鍵がWebブラウザに組み込まれていれば，CRLを参照しなくてもよい。","認証局は，発行した全てのディジタル証明書の有効期限をCRLに登録する。","認証局は，発行したディジタル証明書のうち，失効したものは，失効後1年間CRLに登録するよう義務付けられている。","認証局は，有効期限内のディジタル証明書をCRLに登録することがある。","E"
"平成26年秋期　問12 70問目／選択範囲の問題数675問","DoS攻撃の一つであるSmurf攻撃の特徴はどれか。","","ICMPの応答パケットを大量に送り付ける。","TCP接続要求であるSYNパケットを大量に送り付ける。","サイズの大きいUDPパケットを大量に送り付ける。","サイズの大きい電子メールや大量の電子メールを送り付ける。","A"
"平成27年秋期　問16 71問目／選択範囲の問題数675問","ダウンローダ型マルウェアが内部ネットワークのPCに感染したとき，そのマルウェアによってインターネット経由で他のマルウェアがダウンロードされることを防ぐ対策として，最も有効なものはどれか。","","URLフィルタを用いてインターネット上の危険なWebサイトへの接続を遮断する。","インターネットから内部ネットワークに向けた要求パケットによる不正侵入行為をIPSで破棄する。","スパムメール対策サーバでインターネットからのスパムメールを拒否する。","メールフィルタで他サイトへの不正メール発信を遮断する。","A"
"平成24年秋期　問10 72問目／選択範囲の問題数675問","ICMP Flood攻撃に該当するものはどれか。","","pingコマンドを用いて同時に発生した大量の要求パケットによって，攻撃対象のサーバに至るまでの回線を過負荷にしてアクセスを妨害する。","繰り返しHTTP GETコマンドを送ることによって，攻撃対象のサーバにコンテンツ送信の負荷を掛ける。","コネクション開始要求に当たるSYNパケットを大量に送ることによって，攻撃対象のサーバに，接続要求ごとに応答を返すための過大な負荷を掛ける。","大量のTCPコネクションを確立することによって，攻撃対象のサーバに接続を維持させ続けリソースを枯渇させる。","A"
"平成27年秋期　問6 73問目／選択範囲の問題数675問","ISO/IEC 15408を評価基準とする""ITセキュリティ評価及び認証制度""の説明として，適切なものはどれか。","","暗号モジュールに暗号アルゴリズムが適切に実装され，暗号鍵などが確実に保護されているかどうかを評価及び認証する制度","主に無線LANにおいて，RADIUSなどと連携することで，認証されていない利用者を全て排除し，認証された利用者だけの通信を通過させることを評価及び認証する制度","情報技術に関連した製品のセキュリティ機能の適切性，確実性を第三者機関が評価し，その結果を公的に認証する制度","情報セキュリティマネジメントシステムが，基準にのっとり，適切に組織内に構築，運用されていることを評価及び認証する制度","U"
"平成29年秋期　問25 74問目／選択範囲の問題数675問","株式会社の内部監査におけるシステム監査を，システム監査基準(平成16年)に基づいて実施する場合の監査責任者及びメンバに関する記述のうち，適切なものはどれか。","","あるメンバを，当該メンバが過去に在籍していた部門に対する監査に従事させる場合，一定の期間を置く。","監査責任者は，当該株式会社の株主に限る。","監査部門の在籍期間について，メンバの場合は制限がないが，監査責任者の場合は会社法における監査役の任期を下回ってはならない。","メンバの給与その他の報酬の水準は，監査部門に在籍中は引き下げてはならない。","A"
"令和3年春期　問14 75問目／選択範囲の問題数675問","インターネットサービスプロバイダ(ISP)が，OP25Bを導入する目的の一つはどれか。","","ISP管理外のネットワークに対するISP管理下のネットワークからのICMPパケットによるDDoS攻撃を遮断する。","ISP管理外のネットワークに向けてISP管理下のネットワークから送信されるスパムメールを制限する。","ISP管理下のネットワークに対するISP管理外のネットワークからのICMPパケットによるDDoS攻撃を遮断する。","ISP管理下のネットワークに向けてISP管理外のネットワークから送信されるスパムメールを制限する。","I"
"令和3年春期　問18 76問目／選択範囲の問題数675問","ETSI(欧州電気通信標準化機構)が提唱するNFV(Network Functions Virtualisation)に関する記述のうち，適切なものはどれか。","","ONF(Open Networking Foundation)が提唱するSDN(Software-Defined Networking)を用いて，仮想化を実現する。","OpenFlowコントローラやOpenFlowスイッチなどのOpenFlowプロトコルの専用機器だけを使ってネットワークを構築する。","ルータ，ファイアウォールなどのネットワーク機能を，汎用サーバを使った仮想マシン上のソフトウェアで実現する。","ロードバランサ，スイッチ，ルータなどの専用機器を使って，VLAN，VPNなどの仮想ネットワークを実現する。","U"
"令和2年秋期　問6 77問目／選択範囲の問題数675問","総務省及び国立研究開発法人情報通信研究機構(NICT)が2019年2月から実施している取組""NOTICE""に関する記述のうち，適切なものはどれか。","","NICTが運用するダークネット観測網において，Miraiなどのマルウェアに感染したIoT機器から到達するパケットを分析した結果を当該機器の製造者に提供し，国内での必要な対策を促す。","国内のグローバルIPアドレスを有するIoT機器に，容易に推測されるパスワードを入力することなどによって，サイバー攻撃に悪用されるおそれのある機器を調査し，インターネットサービスプロバイダを通じて当該機器の利用者に注意喚起を行う。","国内の利用者からの申告に基づき，利用者の所有するIoT機器に対して無料でリモートから，侵入テストやOSの既知の脆弱性の有無の調査を実施し，結果を通知するとともに，利用者が自ら必要な対処ができるよう支援する。","製品のリリース前に，不要にもかかわらず開放されているポートの存在，パスワードの設定漏れなど約200項目の脆弱性の有無を調査できるテストベッドを国内のIoT機器製造者向けに公開し，市場に流通するIoT機器のセキュリティ向上を目指す。","I"
"平成29年春期　問14 78問目／選択範囲の問題数675問","特定の利用者が所有するリソースが，WebサービスA上にある。OAuth2.0において，その利用者の認可の下，WebサービスBからそのリソースへの限定されたアクセスを可能にするときのプロトコルの動作はどれか。","","WebサービスAが，アクセストークンを発行する。","WebサービスAが，利用者のディジタル証明書をWebサービスBに送信する。","WebサービスBが，アクセストークンを発行する。","WebサービスBが，利用者のディジタル証明書をWebサービスAに送信する。","A"
"平成30年春期　問11 79問目／選択範囲の問題数675問","cookieにsecure属性を設定しなかったときと比較した，設定したときの動作の差として，適切なものはどれか。","","cookieに指定された有効期間を過ぎると，cookieが無効化される。","JavaScriptによるcookieの読出しが禁止される。","URLのスキームがhttpsのページのときだけ，Webブラウザからcookieが送出される。","WebブラウザがアクセスするURL内のパスとcookieによって指定されたパスのプレフィックスが一致するとき，Webブラウザからcookieが送出される。","U"
"平成24年秋期　問23 80問目／選択範囲の問題数675問","特許権に関する記述のうち，適切なものはどれか。","","A社が特許を出願するより前に独自に開発して販売した製品は，A社の特許権の侵害にならない。","組込み機器におけるハードウェアは特許権で保護されるが，ソフトウェアは保護されない。","審査を受けて特許権を取得した後に，特許権が無効となることはない。","先行特許と同一の技術であっても，独自に開発した技術であれば特許権の侵害にならない。","A"
"平成21年秋期　問17 81問目／選択範囲の問題数675問","電源オフ時にIPアドレスを保持することができない装置が，電源オン時に自装置のMACアドレスから自装置に割り当てられているIPアドレスを知るために用いるデータリンク層のプロトコルで，ブロードキャストを利用するものはどれか。","","ARP","DHCP","DNS","RARP","E"
"令和3年春期　問4 82問目／選択範囲の問題数675問","DoS攻撃の一つであるSmurf攻撃はどれか。","","ICMPの応答パケットを大量に発生させ，それが攻撃対象に送られるようにする。","TCP接続要求であるSYNパケットを攻撃対象に大量に送り付ける。","サイズの大きいUDPパケットを攻撃対象に大量に送り付ける。","サイズの大きい電子メールや大量の電子メールを攻撃対象に送り付ける。","A"
"平成26年春期　問10 83問目／選択範囲の問題数675問","WebサーバがHTTPS通信の応答でcookieにSecure属性を設定したときのブラウザの処理はどれか。","","ブラウザは，cookieの""Secure=""に続いて指定された時間を参照し，指定された時間を過ぎている場合にそのcookieを削除する。","ブラウザは，cookieの""Secure=""に続いて指定されたホスト名を参照し，指定されたホストにそのcookieを送信する。","ブラウザは，cookieの""Secure""を参照し，HTTPS通信時だけそのcookieを送信する。","ブラウザは，cookieの""Secure""を参照し，ブラウザの終了時にそのcookieを削除する。","U"
"平成28年秋期　問1 84問目／選択範囲の問題数675問","RADIUSやDIAMETERが提供するAAAフレームワークの構成要素は，認証(Authentication)及び認可(Authorization)の他にどれか。","","Accounting","Activation","Audit","Augmented Reality","A"
"平成25年秋期　問17 85問目／選択範囲の問題数675問","LANの制御方式に関する記述のうち，適切なものはどれか。","","CSMA/CD方式では，単位時間当たりの送出フレーム数が増していくと，衝突の頻度が増すので，スループットはある値をピークとして，その後下がる。","CSMA/CD方式では，一つの装置から送出されたフレームが順番に各装置に伝送されるので，リング状のLANに適している。","TDMA方式では，伝送路上におけるフレームの伝送遅延時間による衝突が発生する。","トークンパッシング方式では，トークンの巡回によって送信権を管理しているので，トラフィックが増大すると，CSMA/CD方式に比べて伝送効率が急激に低下する。","A"
"平成24年秋期　問13 86問目／選択範囲の問題数675問","ゼロデイ攻撃の特徴はどれか。","","セキュリティパッチが提供される前にパッチが対象とする脆弱性を攻撃する。","特定のサイトに対し，日時を決めて，複数台のPCから同時に攻撃する。","特定のターゲットに対し，フィッシングメールを送信して不正サイトへ誘導する。","不正中継が可能なメールサーバを見つけた後，それを踏み台にチェーンメールを大量に送信する。","A"
"平成22年秋期　問10 87問目／選択範囲の問題数675問","暗号方式に関する記述のうち，適切なものはどれか。","","AESは公開鍵暗号方式，RSAは共通鍵暗号方式の一種である。","共通鍵暗号方式では，暗号化及び復号に使用する鍵が同一である。","公開鍵暗号方式を通信内容の秘匿に使用する場合は，暗号化鍵を秘密にして，復号鍵を公開する。","ディジタル署名に公開鍵暗号方式が使用されることはなく，共通鍵暗号方式が使用される。","I"
"平成21年春期　問11 88問目／選択範囲の問題数675問","メールサーバ(SMTPサーバ)の不正利用を防止するために行う設定はどれか。","","ゾーン転送のアクセス元を制御する。","第三者中継を禁止する。","ディレクトリに存在するファイル名の表示を禁止する。","特定のディレクトリ以外でのCGIプログラムの実行を禁止する。","I"
"平成30年秋期　問1 89問目／選択範囲の問題数675問","AESの特徴はどれか。","","鍵長によって，段数が決まる。","段数は，6回以内の範囲で選択できる。","データの暗号化，復号，暗号化の順に3回繰り返す。","同一の公開鍵を用いて暗号化を3回繰り返す。","A"
"平成31年春期　問21 90問目／選択範囲の問題数675問","次の表において，""在庫""表の製品番号に参照制約が定義されているとき，その参照制約によって拒否される可能性のある操作はどれか。ここで，実線の下線は主キーを，破線の下線は外部キーを表す。

在庫 (在庫管理番号, 製品番号, 在庫量)
製品 (製品番号, 製品名, 型, 単価)","","""在庫""表の行削除","""在庫""表の表削除","""在庫""表への行追加","""製品""表への行追加","U"
"平成30年春期　問25 91問目／選択範囲の問題数675問","データベースの直接修正に関して，監査人がシステム監査報告書で報告すべき指摘事項はどれか。ここで，直接修正とは，アプリケーションの機能を経由せずに，特権IDを使用してデータを追加，変更又は削除することをいう。","","更新ログを加工して，アプリケーションの機能を経由した正常な処理によるログとして残していた。","事前のデータ変更申請の承認，及び事後のデータ変更結果の承認を行っていた。","直接修正の作業時以外は，使用する直接修正用の特権IDを無効にしていた。","利用部門からのデータ変更依頼票に基づいて，システム部門が直接修正を実施していた。","A"
"平成30年秋期　問15 92問目／選択範囲の問題数675問","TLSに関する記述のうち，適切なものはどれか。","","TLSで使用するWebサーバのディジタル証明書にはIPアドレスの組込みが必須なので，WebサーバのIPアドレスを変更する場合は，ディジタル証明書を再度取得する必要がある。","TLSで使用する共通鍵の長さは，128ビット未満で任意に指定する。","TLSで使用する個人認証用のディジタル証明書は，ICカードにも格納することができ，利用するPCを特定のPCに限定する必要はない。","TLSはWebサーバを経由した特定の利用者が通信するためのプロトコルであり，Webサーバへの事前の利用者登録が不可欠である。","U"
"平成28年春期　問16 93問目／選択範囲の問題数675問","認証にクライアント証明書を用いるプロトコルはどれか。","","EAP-FAST","EAP-MD5","EAP-TLS","EAP-TTLS","U"
"令和元年秋期　問16 94問目／選択範囲の問題数675問","IEEE802.1Xで使われるEAP-TLSが行う認証はどれか。","","CHAPを用いたチャレンジレスポンスによる利用者認証","あらかじめ登録した共通鍵によるサーバ認証と，時刻同期のワンタイムパスワードによる利用者認証","ディジタル証明書による認証サーバとクライアントの相互認証","利用者IDとパスワードによる利用者認証","U"
"平成21年秋期　問2 95問目／選択範囲の問題数675問","ブラウザがWebサーバとの間でSSLで通信する際，ディジタル証明書に関する警告メッセージが表示される原因となり得るものはどれか。","","Webサーバが，SSL通信の暗号化方式として，ハンドシェイク終了後に共通鍵暗号化方式でSSLセッションを開始した。","ブラウザがCRLの妥当性をVAに問い合わせる際に，OCSPやSCVPが用いられた。","ブラウザがWebサーバのディジタル証明書の検証に成功した後に，WebサーバからSSLセッションを確立した。","ルートCAのディジタル証明書について，Webサーバのディジタル証明書のものがブラウザで保持しているどのものとも一致しなかった。","E"
"平成21年秋期　問12 96問目／選択範囲の問題数675問","ブルートフォース攻撃に該当するものはどれか。","","可能性のある文字のあらゆる組合せのパスワードでログインを試みる。","コンピュータへのキー入力をすべて記録して外部に送信する。","盗聴者が正当な利用者のログインシーケンスをそのまま記録してサーバに送信する。","認証が終了し，セッションを開始しているブラウザとWebサーバ間の通信で，クッキーなどのセッション情報を盗む。","A"
"平成29年春期　問6 97問目／選択範囲の問題数675問","DNS水責め攻撃(ランダムサブドメイン攻撃)の手口と目的に関する記述のうち，適切なものはどれか。","","ISPが管理するDNSキャッシュサーバに対して，送信元を攻撃対象のサーバのIPアドレスに詐称してランダムかつ大量に生成したサブドメイン名の問合せを送り，その応答が攻撃対象のサーバに送信されるようにする。","オープンリゾルバとなっているDNSキャッシュサーバに対して，攻撃対象のドメインのサブドメイン名をランダムかつ大量に生成して問い合わせ，攻撃対象の権威DNSサーバを過負荷にさせる。","攻撃対象のDNSサーバに対して，攻撃者が管理するドメインのサブドメイン名をランダムかつ大量に生成してキャッシュさせ，正規のDNSリソースレコードを強制的に上書きする。","攻撃対象のWebサイトに対して，当該ドメインのサブドメイン名をランダムかつ大量に生成してアクセスし，非公開のWebページの参照を試みる。","I"
"平成29年秋期　問3 98問目／選択範囲の問題数675問","標準化団体OASISが，Webサイト間で認証，属性及び認可の情報を安全に交換するために策定したフレームワークはどれか。","","SAML","SOAP","XKMS","XML Signature","A"
"平成29年春期　問25 100問目／選択範囲の問題数675問","ある企業が，自社が提供するWebサービスの信頼性について，外部監査人による保証を受ける場合において，次の表のA～Dのうち，""ITに係る保証業務の三当事者""のそれぞれに該当する者の適切な組合せはどれか。","","A","B","C","D","U"
"平成22年春期　問15 101問目／選択範囲の問題数675問","SMTP-AUTHを使ったメールセキュリティ対策はどれか。","","ISP管理下の動的IPアドレスからの電子メール送信について，管理外ネットワークのメールサーバへSMTP通信を禁止する。","PCからの電子メール送信について，POP接続で利用者認証済の場合にだけ許可する。","通常のSMTPとは独立したサブミッションポートを使用して，メールサーバ接続時の認証を行う。","電子メール送信元のサーバについてDNSの逆引きが成功した場合にだけ，電子メール受信を許可する。","U"
"平成28年春期　問19 102問目／選択範囲の問題数675問","IPv4ネットワークでIPアドレスを割り当てる際に，DHCPクライアントとDHCPサーバ間でやり取りされるメッセージの順序として，適切なものはどれか。","","DHCPDISCOVER，DHCPACK，DHCPREQUEST，DHCPOFFER","DHCPDISCOVER，DHCPOFFER，DHCPREQUEST，DHCPACK","DHCPREQUEST，DHCPACK，DHCPDISCOVER，DHCPOFFER","DHCPREQUEST，DHCPDISCOVER，DHCPOFFER，DHCPACK","I"
"平成25年秋期　問24 103問目／選択範囲の問題数675問","ITサービスマネジメントの問題管理プロセスにおけるプロアクティブな活動はどれか。","","インシデントの根本原因を究明する。","過去に同様のインシデントが発生していないか調査する。","過去のインシデントの記録を分析し，今後起こりそうなインシデントを予測する。","根本原因を突き止めた問題を既知のエラーとして登録する。","U"
"平成24年秋期　問1 104問目／選択範囲の問題数675問","特定のCAが発行したCRL(Certificate Revocation List)に関する記述のうち，適切なものはどれか。","","CRLには，失効された公開鍵証明書に対応する秘密鍵が登録される。","CRLには，有効期限内の公開鍵証明書のうち破棄されている公開鍵証明書と破棄された日時の対応が提示される。","CRLは，鍵の漏えい，破棄申請の状況をリアルタイムに反映するプロトコルである。","有効期限切れで無効になった公開鍵証明書は，所有者が新たな公開鍵証明書を取得するまでの間，CRLに登録される。","I"
"平成27年春期　問2 105問目／選択範囲の問題数675問","IEEE802.1Xで使われるEAP-TLSが行う認証はどれか。","","CHAPを用いたチャレンジレスポンスによる利用者認証","あらかじめ登録した共通鍵によるサーバ認証と，時刻同期のワンタイムパスワードによる利用者認証","ディジタル証明書による認証サーバとクライアントの相互認証","利用者IDとパスワードによる利用者認証","U"
"平成29年秋期　問7 106問目／選択範囲の問題数675問","DoS攻撃の一つであるSmurf攻撃はどれか。","","ICMPの応答パケットを攻撃対象に大量に送り付ける。","TCP接続要求であるSYNパケットを攻撃対象に大量に送り付ける。","サイズの大きいUDPパケットを攻撃対象に大量に送り付ける。","サイズの大きい電子メールや大量の電子メールを攻撃対象に送り付ける。","A"
"平成30年春期　問21 107問目／選択範囲の問題数675問","DBMSがトランザクションのコミット処理を完了するタイミングはどれか。","","アプリケーションの更新命令完了時点","チェックポイント処理完了時点","ログバッファへのコミット情報書込み完了時点","ログファイルへのコミット情報書込み完了時点","E"
"平成30年春期　問7 108問目／選択範囲の問題数675問","発信者がメッセージのハッシュ値からディジタル署名を生成するのに使う鍵はどれか。","","受信者の公開鍵","受信者の秘密鍵","発信者の公開鍵","発信者の秘密鍵","E"
"平成23年特別　問2 109問目／選択範囲の問題数675問","IEEE802.1Xで使われるEAP-TLSによって実現される認証はどれか。","","あらかじめ登録した共通鍵によるサーバ認証と，時刻同期のワンタイムパスワードによる利用者認証","チャレンジレスポンスによる利用者認証","ディジタル証明書による認証サーバとクライアントの相互認証","利用者IDとパスワードによる利用者認証","U"
"平成28年春期　問12 110問目／選択範囲の問題数675問","DNSキャッシュポイズニング攻撃に対して有効な対策はどれか。","","DNSサーバで，マルウェアの侵入をリアルタイムに検知する。","DNS問合せに使用するDNSヘッダ内のIDを固定せずにランダムに変更する。","DNS問合せに使用する送信元ポート番号を53番に固定する。","外部からのDNS問合せに対しては，宛先ポート番号53のものだけに応答する。","I"
"令和3年春期　問13 111問目／選択範囲の問題数675問","マルウェアの検出手法であるビヘイビア法を説明したものはどれか。","","あらかじめ特徴的なコードをパターンとして登録したマルウェア定義ファイルを用いてマルウェア検査対象と比較し，同じパターンがあればマルウェアとして検出する。","マルウェアに感染していないことを保証する情報をあらかじめ検査対象に付加しておき，検査時に不整合があればマルウェアとして検出する。","マルウェアの感染が疑わしい検査対象のハッシュ値と，安全な場所に保管されている原本のハッシュ値を比較し，マルウェアとして検出する。","マルウェアの感染や発病によって生じるデータ読込みの動作，書込み動作，通信などを監視して，マルウェアとして検出する。","E"
"平成22年秋期　問16 112問目／選択範囲の問題数675問","WAF(Web Application Firewall)のブラックリスト又はホワイトリストの説明のうち，適切なものはどれか。","","ブラックリストは，脆弱性のあるサイトのIPアドレスを登録したものであり，該当する通信を遮断する。","ブラックリストは，問題のある通信データパターンを定義したものであり，該当する通信を遮断するか又は無害化する。","ホワイトリストは，脆弱性のないサイトのFQDNを登録したものであり，該当する通信を遮断する。","ホワイトリストは，問題のある送信データをどのように無害化するかを定義したものであり，該当するデータを無害化する。","I"
"平成23年秋期　問14 113問目／選択範囲の問題数675問","スパムメールの対策であるDKIM(DomainKeys Identified Mail)の説明はどれか。","","送信側メールサーバでディジタル署名を電子メールのヘッダに付与して，受信側メールサーバで検証する。","送信側メールサーバで利用者が認証されたとき，電子メールの送信が許可される。","電子メールのヘッダや配送経路の情報から得られる送信元情報を用いて，メール送信元のIPアドレスを検証する。","ネットワーク機器で，内部ネットワークから外部のメールサーバのTCPポート25番への直接の通信を禁止する。","A"
"平成26年春期　問7 114問目／選択範囲の問題数675問","ポリモーフィック型ウイルスの説明として，適切なものはどれか。","","インターネットを介して，攻撃者がPCを遠隔操作する。","感染するごとに鍵を変えてウイルスのコードを異なる鍵で暗号化し，ウイルス自身を変化させて同一のパターンで検知されないようにする。","複数のOSで利用できるプログラム言語でウイルスを作成することによって，複数のOS上でウイルスが動作する。","ルートキットを利用してウイルスに感染していないように見せかけることによって，ウイルスを隠蔽する。","I"
"平成24年春期　問17 115問目／選択範囲の問題数675問","無線LANで用いられるSSIDの説明として，適切なものはどれか。","","48ビットのネットワーク識別子であり，アクセスポイントのMACアドレスと一致する。","48ビットのホスト識別子であり，有線LANのMACアドレスと同様の働きをする。","最長32オクテットのネットワーク識別子であり，接続するアクセスポイントの選択に用いられる。","最長32オクテットのホスト識別子であり，ネットワーク上で一意である。","U"
"平成27年春期　問13 116問目／選択範囲の問題数675問","迷惑メールの検知手法であるベイジアンフィルタリングの説明はどれか。","","信頼できるメール送信元を許可リストに登録しておき，許可リストにない送信元からの電子メールは迷惑メールと判定する。","電子メールが正規のメールサーバから送信されていることを検証し，迷惑メールであるかどうかを判定する。","電子メールの第三者中継を許可しているメールサーバを登録したデータベースに掲載されている情報を基に，迷惑メールであるかどうかを判定する。","利用者が振り分けた迷惑メールから特徴を学習し，迷惑メールであるかどうかを統計的に解析して判定する。","E"
"平成27年春期　問9 117問目／選択範囲の問題数675問","IPsecに関する記述のうち，適切なものはどれか。","","IKEはIPsecの鍵交換のためのプロトコルであり，ポート番号80が使用される。","暗号化アルゴリズムとして，HMAC-SHA1が使用される。","トンネルモードを使用すると，エンドツーエンドの通信で用いるIPのヘッダまで含めて暗号化される。","ホストAとホストBとの間でIPsecによる通信を行う場合，認証や暗号化アルゴリズムを両者で決めるためにESPヘッダでなくAHヘッダを使用する。","U"
"平成22年春期　問11 118問目／選択範囲の問題数675問","DMZ上のコンピュータがインターネットからのpingに応答しないようにファイアウォールのセキュリティルールを定めるとき，""通過禁止""に設定するものはどれか。","","ICMP","TCP及びUDPのポート番号53","TCPのポート番号21","UDPのポート番号123","A"
"平成28年春期　問21 119問目／選択範囲の問題数675問","""アカウント""表に対して，SQL文を実行したとき，""アカウント""表の全ての行が取得される入力パラメタはどれか。ここで，入力パラメタのエスケープ処理は行わない。また，"";""はSQL文の終端として解釈されるものとする。","","' OR '--' = '--","' OR ユーザ名 = 'ユーザ名","'-- OR 1 = 1","\' OR 1 = 1 ';--","A"
"平成23年秋期　問15 120問目／選択範囲の問題数675問","IPsecのAHに関する説明のうち，適切なものはどれか。","","IPパケットを暗号化する対象部分によって，トランスポートモード，トンネルモードの方式がある。","暗号化アルゴリズムや暗号化鍵のライフタイムが設定される管理テーブルで，期間を過ぎると新しいデータに更新される。","暗号化アルゴリズムを決定し，暗号化鍵を動的に生成する鍵交換プロトコルで，暗号化通信を行う。","データの暗号化は行わず，SPI，シーケンス番号，認証データを用い，完全性の確保と認証を行う。","E"
"平成23年特別　問3 121問目／選択範囲の問題数675問","PCに内蔵されるセキュリティチップ(TPM:Trusted Platform Module)がもつ機能はどれか。","","TPM間の共通鍵の交換","鍵ペアの生成","ディジタル証明書の発行","ネットワーク経由の乱数送信","I"
"平成31年春期　問25 122問目／選択範囲の問題数675問","システム監査における監査調書の説明として，適切なものはどれか。","","監査対象部門が，監査報告後に改善提案への対応方法を記入したもの","監査対象部門が，予備調査前に当該部門の業務内容をとりまとめたもの","監査人が， 実施した監査のプロセスを記録したもの","監査人が，年度の監査計画を監査対象ごとに詳細化して作成したもの","U"
